title,genre,metaCritic,userScore
Bloodstained: Ritual of the Night (PC),"Genre(s): Action,                                            Role-Playing,                                            Platformer,                                            Action RPG,                                            2D                                    ",83,8.6
FAR: Lone Sails (PS4),"Genre(s): Action,                                            Platformer,                                            2D                                    ",83,6.2
Bloodstained: Ritual of the Night (PS4),"Genre(s): Action,                                            Platformer,                                            2D,                                            Role-Playing,                                            Action RPG                                    ",83,8.5
Kingdom Hearts III (PS4),"Genre(s): Action RPG,                                            Action Adventure,                                            Fantasy,                                            Role-Playing,                                            Action RPG                                    ",83,8.1
Crash Team Racing: Nitro-Fueled (PS4),"Genre(s): Racing,                                            Arcade,                                            Automobile                                    ",83,6.5
Wreckfest (XONE),"Genre(s): Racing,                                            General,                                            Arcade,                                            Automobile                                    ",83,5.9
Pillars of Eternity: Complete Edition (Switch),"Genre(s): Role-Playing,                                            Western-Style                                    ",83,2.4
Duck Game (Switch),"Genre(s): Action,                                            General                                    ",83,7.6
Timespinner (Switch),"Genre(s): Action,                                            Platformer,                                            2D                                    ",83,7.4
Ni no Kuni: Wrath of the White Witch (Switch),"Genre(s): Role-Playing,                                            Japanese-Style                                    ",83,8.1
Remnant: From the Ashes (XONE),"Genre(s): Action,                                            Shooter,                                            Third-Person,                                            Arcade                                    ",83,7.6
OlliOlli: Switch Stance (Switch),"Genre(s): Miscellaneous,                                            Compilation                                    ",83,8.2
Trials Rising (PC),"Genre(s): Racing,                                            Arcade,                                            Automobile                                    ",83,4.7
No Man's Sky Beyond (PS4),"Genre(s): Action Adventure,                                            Open-World                                    ",83,8.3
Collection of Mana (Switch),"Genre(s): Miscellaneous,                                            Compilation                                    ",83,8.3
Borderlands 3 (PC),"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Arcade                                    ",83,5.3
Ape Out (PC),"Genre(s): Action,                                            Shooter,                                            Shoot-'Em-Up,                                            Top-Down                                    ",83,6.2
Katana ZERO (PC),"Genre(s): Action,                                            Platformer,                                            2D                                    ",83,8.9
